"Agriculture Year",District,Crop,"Area Growth",Unit1,"Production Growth",Unit2,"Productivity Growth",Unit3
1953-54,Kottayam,Turmeric,0.86,Percent,0.89,Percent,,Percent
1953-54,Thiruvananthapuram,Arecanut,-38.8,Percent,-18.32,Percent,33.78,Percent
1953-54,Thiruvananthapuram,Banana,171.65,Percent,-5.96,Percent,-65.38,Percent
1953-54,Thiruvananthapuram,Cashew,50.05,Percent,63.1,Percent,8.74,Percent
1953-54,Thiruvananthapuram,Coconut,19.31,Percent,19.42,Percent,0.1,Percent
1953-54,Thiruvananthapuram,Coffee,,Percent,,Percent,,Percent
1953-54,Thiruvananthapuram,Ginger,125,Percent,200,Percent,33.37,Percent
1953-54,Thiruvananthapuram,Mango,213.18,Percent,,Percent,,Percent
1953-54,Thiruvananthapuram,Paddy,-6.05,Percent,-2.99,Percent,3.32,Percent
1953-54,Thiruvananthapuram,Pepper,-1.93,Percent,-6.69,Percent,-4.99,Percent
1953-54,Thiruvananthapuram,Plantain,171.57,Percent,-5.98,Percent,-65.38,Percent
1953-54,Thiruvananthapuram,Rubber,0.16,Percent,5.86,Percent,6.02,Percent
1953-54,Thiruvananthapuram,Tapioca,21.63,Percent,16.1,Percent,-4.55,Percent
1953-54,Thiruvananthapuram,Tea,,Percent,,Percent,,Percent
1953-54,Thrissur,Arecanut,-49.77,Percent,-32.97,Percent,33.78,Percent
1953-54,Thrissur,Banana,139.16,Percent,-17.21,Percent,-65.38,Percent
1953-54,Thrissur,Cashew,-3.57,Percent,4.81,Percent,8.74,Percent
1953-54,Thrissur,Coconut,11.57,Percent,11.55,Percent,-0.01,Percent
1953-54,Thrissur,Coffee,,Percent,,Percent,,Percent
1953-54,Thrissur,Ginger,-83.86,Percent,-83.62,Percent,1.46,Percent
1953-54,Thrissur,Mango,96.45,Percent,,Percent,,Percent
1953-54,Thrissur,Paddy,-21.66,Percent,-19.11,Percent,3.32,Percent
1953-54,Thrissur,Pepper,11.53,Percent,4.72,Percent,-6.05,Percent
1953-54,Thrissur,Plantain,139.08,Percent,-17.23,Percent,-65.38,Percent
1953-54,Thrissur,Rubber,0.16,Percent,5.8,Percent,5.33,Percent
1953-54,Thrissur,Tapioca,-3.23,Percent,-7.63,Percent,-4.55,Percent
1953-54,Thrissur,Tea,,Percent,,Percent,0.62,Percent
1953-54,Thrissur,Turmeric,-6.67,Percent,-6.57,Percent,0.09,Percent
1954-55,Kollam,Arecanut,38.23,Percent,38.33,Percent,,Percent
1954-55,Kollam,Banana,-8.82,Percent,-9.15,Percent,-0.35,Percent
1954-55,Kollam,Cardamom,5.56,Percent,,Percent,-5.36,Percent
1954-55,Kollam,Cashew,2.82,Percent,-14.99,Percent,-17.34,Percent
1954-55,Kollam,Coconut,1.13,Percent,-2.37,Percent,-3.46,Percent
1954-55,Kollam,Coffee,,Percent,,Percent,,Percent
1954-55,Kollam,Ginger,7.41,Percent,2.86,Percent,-4.24,Percent
1954-55,Kollam,Mango,0.02,Percent,,Percent,,Percent
1954-55,Kollam,Paddy,0.44,Percent,11.82,Percent,11.34,Percent
1954-55,Kollam,Pepper,,Percent,15.82,Percent,15.99,Percent
1954-55,Kollam,Plantain,-8.81,Percent,-9.13,Percent,-0.35,Percent
1954-55,Kollam,Rubber,,Percent,1.77,Percent,1.9,Percent
1954-55,Kollam,Tapioca,-12.63,Percent,-12.64,Percent,-0.01,Percent
1954-55,Kollam,Tea,2.52,Percent,,Percent,-2.47,Percent
1954-55,Kollam,Turmeric,,Percent,,Percent,,Percent
1954-55,Kottayam,Arecanut,60.69,Percent,60.61,Percent,,Percent
1954-55,Kottayam,Banana,35.06,Percent,35.08,Percent,,Percent
1954-55,Kottayam,Cardamom,3.81,Percent,3.81,Percent,,Percent
1954-55,Kottayam,Cashew,13.12,Percent,-6.48,Percent,-17.34,Percent
1954-55,Kottayam,Coconut,4.1,Percent,4.04,Percent,-0.04,Percent
1954-55,Kottayam,Coffee,,Percent,,Percent,,Percent
1954-55,Kottayam,Ginger,,Percent,0.05,Percent,0.08,Percent
1954-55,Kottayam,Mango,0.68,Percent,,Percent,,Percent
1954-55,Kottayam,Paddy,17.8,Percent,31.15,Percent,11.34,Percent
1954-55,Kottayam,Pepper,,Percent,15.78,Percent,15.75,Percent
1954-55,Kottayam,Plantain,35.15,Percent,35.15,Percent,,Percent
1954-55,Kottayam,Rubber,,Percent,1.78,Percent,1.9,Percent
1954-55,Kottayam,Tapioca,-20.44,Percent,-20.44,Percent,,Percent
1954-55,Kottayam,Tea,-16.64,Percent,-0.01,Percent,19.94,Percent
1954-55,Kottayam,Turmeric,,Percent,,Percent,,Percent
1954-55,Thiruvananthapuram,Arecanut,49.22,Percent,49.7,Percent,,Percent
1954-55,Thiruvananthapuram,Banana,18.62,Percent,18.66,Percent,,Percent
1954-55,Thiruvananthapuram,Cashew,-0.59,Percent,-17.82,Percent,-17.34,Percent
1954-55,Thiruvananthapuram,Coconut,1.83,Percent,15.53,Percent,13.45,Percent
1954-55,Thiruvananthapuram,Coffee,,Percent,,Percent,,Percent
1954-55,Thiruvananthapuram,Ginger,40.74,Percent,56.67,Percent,11.34,Percent
1954-55,Thiruvananthapuram,Mango,0.12,Percent,,Percent,,Percent
1954-55,Thiruvananthapuram,Paddy,0.45,Percent,11.84,Percent,11.34,Percent
1954-55,Thiruvananthapuram,Pepper,,Percent,15.76,Percent,15.75,Percent
1954-55,Thiruvananthapuram,Plantain,18.72,Percent,18.73,Percent,,Percent
1954-55,Thiruvananthapuram,Rubber,,Percent,1.75,Percent,1.58,Percent
1954-55,Thiruvananthapuram,Tapioca,-18.25,Percent,-18.25,Percent,,Percent
1954-55,Thiruvananthapuram,Tea,2.72,Percent,,Percent,-2.63,Percent
1954-55,Thiruvananthapuram,Turmeric,,Percent,,Percent,,Percent
1954-55,Thrissur,Arecanut,39.3,Percent,38.88,Percent,,Percent
1954-55,Thrissur,Banana,30.7,Percent,35.38,Percent,3.58,Percent
1954-55,Thrissur,Cardamom,3.89,Percent,4,Percent,,Percent
1954-55,Thrissur,Cashew,-0.78,Percent,-17.98,Percent,-17.34,Percent
1954-55,Thrissur,Coconut,-3.69,Percent,-13.93,Percent,-10.64,Percent
1954-55,Thrissur,Coffee,,Percent,,Percent,,Percent
1954-55,Thrissur,Ginger,2.19,Percent,,Percent,-2.07,Percent
1954-55,Thrissur,Mango,,Percent,,Percent,,Percent
1954-55,Thrissur,Paddy,4.41,Percent,16.24,Percent,11.34,Percent
1954-55,Thrissur,Pepper,,Percent,15.84,Percent,15.75,Percent
1954-55,Thrissur,Plantain,30.65,Percent,35.33,Percent,3.58,Percent
1954-55,Thrissur,Rubber,,Percent,1.75,Percent,1.9,Percent
1954-55,Thrissur,Tapioca,-0.02,Percent,0.04,Percent,0.06,Percent
1954-55,Thrissur,Tea,10.85,Percent,,Percent,802.3,Percent
1954-55,Thrissur,Turmeric,,Percent,,Percent,,Percent
1955-56,Kollam,Arecanut,,Percent,12.5,Percent,12.12,Percent
1955-56,Kollam,Banana,22.02,Percent,22.01,Percent,,Percent
1955-56,Kollam,Cardamom,,Percent,,Percent,,Percent
1955-56,Kollam,Cashew,14.07,Percent,28.78,Percent,12.87,Percent
1955-56,Kollam,Coconut,-0.55,Percent,3.1,Percent,3.67,Percent
1955-56,Kollam,Coffee,,Percent,,Percent,,Percent
1955-56,Kollam,Ginger,-12.07,Percent,-12.5,Percent,-0.48,Percent
1955-56,Kollam,Mango,14.28,Percent,,Percent,,Percent
1955-56,Kollam,Paddy,1.88,Percent,8.73,Percent,6.66,Percent
1955-56,Kollam,Pepper,,Percent,-2.31,Percent,-2.47,Percent
1955-56,Kollam,Plantain,22.08,Percent,22.08,Percent,,Percent
1955-56,Kollam,Rubber,,Percent,-0.02,Percent,,Percent
1955-56,Kollam,Tapioca,6.3,Percent,6.32,Percent,0.01,Percent
1955-56,Kollam,Tea,1.02,Percent,20.13,Percent,18.86,Percent
1955-56,Kollam,Turmeric,-9.23,Percent,-9.86,Percent,-0.64,Percent
1955-56,Kottayam,Arecanut,,Percent,12.52,Percent,12.12,Percent
1955-56,Kottayam,Banana,49.6,Percent,49.6,Percent,,Percent
1955-56,Kottayam,Cardamom,,Percent,2.51,Percent,2.33,Percent
1955-56,Kottayam,Cashew,11.49,Percent,25.88,Percent,12.87,Percent
1955-56,Kottayam,Coconut,2.69,Percent,2.45,Percent,-0.23,Percent
1955-56,Kottayam,Coffee,,Percent,,Percent,,Percent
1955-56,Kottayam,Ginger,0.24,Percent,0.25,Percent,,Percent
1955-56,Kottayam,Mango,38.38,Percent,,Percent,,Percent
1955-56,Kottayam,Paddy,0.17,Percent,6.91,Percent,6.66,Percent
1955-56,Kottayam,Pepper,2.12,Percent,-0.19,Percent,-2.27,Percent
1955-56,Kottayam,Plantain,49.57,Percent,49.58,Percent,,Percent
1955-56,Kottayam,Rubber,,Percent,,Percent,,Percent
1955-56,Kottayam,Tapioca,-14.66,Percent,-14.66,Percent,,Percent
1955-56,Kottayam,Tea,1.04,Percent,-2.29,Percent,-90.08,Percent
1955-56,Kottayam,Turmeric,-1.03,Percent,-1.04,Percent,,Percent
1955-56,Thiruvananthapuram,Arecanut,,Percent,12.15,Percent,12.12,Percent
1955-56,Thiruvananthapuram,Banana,6.06,Percent,6.07,Percent,,Percent
1955-56,Thiruvananthapuram,Cashew,11.65,Percent,26.05,Percent,-88.74,Percent
1955-56,Thiruvananthapuram,Coconut,3.14,Percent,-8.61,Percent,-11.38,Percent
1955-56,Thiruvananthapuram,Coffee,51.85,Percent,54.55,Percent,1.47,Percent
1955-56,Thiruvananthapuram,Ginger,-13.16,Percent,-12.77,Percent,0.4,Percent
1955-56,Thiruvananthapuram,Mango,-5.9,Percent,,Percent,,Percent
1955-56,Thiruvananthapuram,Paddy,0.9,Percent,7.69,Percent,6.66,Percent
1955-56,Thiruvananthapuram,Pepper,,Percent,-2.26,Percent,-2.27,Percent
1955-56,Thiruvananthapuram,Plantain,5.92,Percent,5.91,Percent,,Percent
1955-56,Thiruvananthapuram,Rubber,,Percent,,Percent,,Percent
1955-56,Thiruvananthapuram,Tapioca,5.91,Percent,5.91,Percent,,Percent
1955-56,Thiruvananthapuram,Tea,1.05,Percent,20.45,Percent,19.24,Percent
1955-56,Thiruvananthapuram,Turmeric,192.86,Percent,181.25,Percent,-3.94,Percent
1955-56,Thrissur,Arecanut,,Percent,12.65,Percent,12.12,Percent
1955-56,Thrissur,Banana,12.27,Percent,8.39,Percent,-3.46,Percent
1955-56,Thrissur,Cardamom,,Percent,3.85,Percent,4.76,Percent
1955-56,Thrissur,Cashew,-4.49,Percent,7.83,Percent,12.87,Percent
1955-56,Thrissur,Coconut,-4.78,Percent,6.22,Percent,11.57,Percent
1955-56,Thrissur,Coffee,1.09,Percent,1.04,Percent,,Percent
1955-56,Thrissur,Ginger,-12.14,Percent,-11.63,Percent,0.57,Percent
1955-56,Thrissur,Mango,25.31,Percent,,Percent,,Percent
1955-56,Thrissur,Paddy,0.99,Percent,7.78,Percent,6.66,Percent
1955-56,Thrissur,Pepper,,Percent,-2.28,Percent,-2.27,Percent
1955-56,Thrissur,Plantain,12.29,Percent,12.28,Percent,,Percent
1955-56,Thrissur,Rubber,,Percent,0.06,Percent,,Percent
1955-56,Thrissur,Tapioca,-11.09,Percent,-11.15,Percent,-90.01,Percent
1955-56,Thrissur,Tea,1.06,Percent,29.93,Percent,-87.23,Percent
1955-56,Thrissur,Turmeric,-13.1,Percent,-12.97,Percent,0.18,Percent
1957-58,Kollam,Arecanut,-31.75,Percent,-5.19,Percent,38.74,Percent
1957-58,Kollam,Banana,-57.5,Percent,33.44,Percent,213.92,Percent
1957-58,Kollam,Cashew,-16.86,Percent,-15.51,Percent,1.62,Percent
1957-58,Kollam,Coconut,-49.21,Percent,-44.58,Percent,9.11,Percent
1957-58,Kollam,Coffee,258.46,Percent,-85.71,Percent,-95.81,Percent
1957-58,Kollam,Ginger,-31.37,Percent,-28.57,Percent,4.13,Percent
1957-58,Kollam,Mango,-31.6,Percent,,Percent,,Percent
1957-58,Kollam,Paddy,-63.29,Percent,-61.32,Percent,-0.9,Percent
1957-58,Kollam,Pepper,-22.86,Percent,-26.68,Percent,-4.85,Percent
1957-58,Kollam,Plantain,-57.48,Percent,33.48,Percent,213.92,Percent
1957-58,Kollam,Rubber,25.69,Percent,9.23,Percent,-13.04,Percent
1957-58,Kollam,Tapioca,-34.19,Percent,-33.13,Percent,1.61,Percent
1957-58,Kollam,Tea,-0.27,Percent,-16.28,Percent,-16,Percent
1957-58,Kollam,Turmeric,193.22,Percent,142.19,Percent,-17.42,Percent
1957-58,Kottayam,Arecanut,-39.93,Percent,-42.19,Percent,-3.6,Percent
1957-58,Kottayam,Banana,-62.53,Percent,15.5,Percent,208.21,Percent
1957-58,Kottayam,Cardamom,-4.14,Percent,-2.71,Percent,2.27,Percent
1957-58,Kottayam,Cashew,-58.1,Percent,-57.43,Percent,1.62,Percent
1957-58,Kottayam,Coconut,-21.07,Percent,-32.34,Percent,-14.27,Percent
1957-58,Kottayam,Coffee,-54.24,Percent,-40.61,Percent,30.14,Percent
1957-58,Kottayam,Ginger,-34.67,Percent,-41.93,Percent,-2.99,Percent
1957-58,Kottayam,Mango,-14.18,Percent,,Percent,,Percent
1957-58,Kottayam,Paddy,-37.85,Percent,-40.94,Percent,-4.96,Percent
1957-58,Kottayam,Pepper,-25.65,Percent,-34.13,Percent,-11.39,Percent
1957-58,Kottayam,Plantain,-62.49,Percent,15.59,Percent,208.21,Percent
1957-58,Kottayam,Rubber,26.42,Percent,-22.54,Percent,-38.82,Percent
1957-58,Kottayam,Tapioca,-23.46,Percent,-22.22,Percent,1.61,Percent
1957-58,Kottayam,Tea,-0.47,Percent,4.11,Percent,919.48,Percent
1957-58,Kottayam,Turmeric,2.71,Percent,-16.54,Percent,-18.68,Percent
1957-58,Thiruvananthapuram,Arecanut,27.49,Percent,64.98,Percent,29.73,Percent
1957-58,Thiruvananthapuram,Banana,-29.93,Percent,126.22,Percent,222.96,Percent
1957-58,Thiruvananthapuram,Cashew,-15.47,Percent,-14.07,Percent,919.48,Percent
1957-58,Thiruvananthapuram,Coconut,-10.61,Percent,-14.94,Percent,-4.85,Percent
1957-58,Thiruvananthapuram,Ginger,3.03,Percent,9.76,Percent,6.6,Percent
1957-58,Thiruvananthapuram,Mango,-41.63,Percent,,Percent,,Percent
1957-58,Thiruvananthapuram,Paddy,-58.41,Percent,-54.42,Percent,9.62,Percent
1957-58,Thiruvananthapuram,Pepper,-5.48,Percent,-15.11,Percent,-10.13,Percent
1957-58,Thiruvananthapuram,Plantain,-29.92,Percent,126.33,Percent,222.96,Percent
1957-58,Thiruvananthapuram,Rubber,-42.46,Percent,-49.21,Percent,-11.8,Percent
1957-58,Thiruvananthapuram,Tapioca,-20.3,Percent,-19.03,Percent,1.6,Percent
1957-58,Thiruvananthapuram,Tea,-28.4,Percent,-54.83,Percent,-36.93,Percent
1957-58,Thiruvananthapuram,Turmeric,1175.61,Percent,940,Percent,-18.49,Percent
1957-58,Thrissur,Arecanut,-34.5,Percent,-21.56,Percent,19.82,Percent
1957-58,Thrissur,Banana,-60.37,Percent,27.12,Percent,220.78,Percent
1957-58,Thrissur,Cashew,-18.91,Percent,-17.63,Percent,1.62,Percent
1957-58,Thrissur,Coconut,-10.73,Percent,-14.06,Percent,-3.74,Percent
1957-58,Thrissur,Ginger,-43.9,Percent,-41.45,Percent,4.37,Percent
1957-58,Thrissur,Mango,-54.52,Percent,,Percent,,Percent
1957-58,Thrissur,Paddy,-35.28,Percent,-39.44,Percent,-6.39,Percent
1957-58,Thrissur,Pepper,-64.56,Percent,-67.9,Percent,-9.49,Percent
1957-58,Thrissur,Plantain,-60.35,Percent,22.81,Percent,209.69,Percent
1957-58,Thrissur,Rubber,-16.66,Percent,-25.08,Percent,-9.94,Percent
1957-58,Thrissur,Tapioca,-49.86,Percent,-49.06,Percent,915.68,Percent
1957-58,Thrissur,Tea,-44.9,Percent,-13.79,Percent,56.4,Percent
1957-58,Thrissur,Turmeric,-36.3,Percent,-48.45,Percent,-19.13,Percent
1958-59,Alappuzha,Arecanut,-0.42,Percent,-0.61,Percent,,Percent
1958-59,Alappuzha,Banana,23.19,Percent,-55.78,Percent,-64.1,Percent
1958-59,Alappuzha,Cashew,15.82,Percent,13.97,Percent,-1.59,Percent
1958-59,Alappuzha,Coconut,0.32,Percent,0.2,Percent,-0.12,Percent
1958-59,Alappuzha,Ginger,-5.88,Percent,-4.76,Percent,1.21,Percent
1958-59,Alappuzha,Mango,13.53,Percent,,Percent,,Percent
1958-59,Alappuzha,Paddy,9.03,Percent,25.58,Percent,15.19,Percent
1958-59,Alappuzha,Pepper,-3.93,Percent,-10.96,Percent,-7.32,Percent
1958-59,Alappuzha,Plantain,22.98,Percent,-55.85,Percent,-64.1,Percent
1958-59,Alappuzha,Rubber,7.99,Percent,-1.79,Percent,-9.29,Percent
1958-59,Alappuzha,Tapioca,13.13,Percent,11.37,Percent,-1.56,Percent
1958-59,Alappuzha,Turmeric,-60,Percent,-61.19,Percent,-2.91,Percent
1958-59,Ernakulam,Arecanut,4.82,Percent,4.74,Percent,-0.7,Percent
1958-59,Ernakulam,Banana,9.86,Percent,-60.04,Percent,-63.64,Percent
1958-59,Ernakulam,Cardamom,-22.74,Percent,-24.53,Percent,-2.22,Percent
1958-59,Ernakulam,Cashew,-3.41,Percent,-4.92,Percent,-1.53,Percent
1958-59,Ernakulam,Coconut,-0.34,Percent,-0.34,Percent,,Percent
1958-59,Ernakulam,Coffee,6.15,Percent,6.45,Percent,0.21,Percent
1958-59,Ernakulam,Ginger,-20.67,Percent,-27.39,Percent,-8.47,Percent
1958-59,Ernakulam,Mango,-12.04,Percent,,Percent,,Percent
1958-59,Ernakulam,Paddy,0.77,Percent,2.45,Percent,1.7,Percent
1958-59,Ernakulam,Pepper,0.5,Percent,-2.8,Percent,-3.5,Percent
1958-59,Ernakulam,Plantain,9.85,Percent,-60.06,Percent,-63.64,Percent
1958-59,Ernakulam,Rubber,7.29,Percent,-3.56,Percent,-9.95,Percent
1958-59,Ernakulam,Tapioca,-5.72,Percent,-7.2,Percent,-1.57,Percent
1958-59,Ernakulam,Tea,-4.93,Percent,-34.29,Percent,-30.85,Percent
1958-59,Ernakulam,Turmeric,-14.41,Percent,-15.87,Percent,-1.78,Percent
1958-59,Kannur,Arecanut,30.2,Percent,30.15,Percent,,Percent
1958-59,Kannur,Banana,0.36,Percent,-85.62,Percent,-85.67,Percent
1958-59,Kannur,Cardamom,-92.51,Percent,12.5,Percent,1400,Percent
1958-59,Kannur,Cashew,6.2,Percent,4.53,Percent,-1.59,Percent
1958-59,Kannur,Coconut,5.8,Percent,5.71,Percent,-0.09,Percent
1958-59,Kannur,Coffee,9.02,Percent,51.72,Percent,39.25,Percent
1958-59,Kannur,Ginger,-1.15,Percent,-34.51,Percent,-33.8,Percent
1958-59,Kannur,Mango,5.23,Percent,,Percent,,Percent
1958-59,Kannur,Paddy,0.64,Percent,2.6,Percent,2,Percent
1958-59,Kannur,Pepper,-0.48,Percent,-9.48,Percent,-8.91,Percent
1958-59,Kannur,Plantain,0.36,Percent,-85.62,Percent,-85.67,Percent
1958-59,Kannur,Rubber,16.86,Percent,11.37,Percent,-4.57,Percent
1958-59,Kannur,Tapioca,-4.06,Percent,-5.67,Percent,-1.67,Percent
1958-59,Kannur,Tea,-0.4,Percent,-11.66,Percent,-11.28,Percent
1958-59,Kannur,Turmeric,39.86,Percent,37.1,Percent,-2,Percent
1958-59,Kollam,Arecanut,4.04,Percent,4.1,Percent,0.65,Percent
1958-59,Kollam,Banana,0.6,Percent,-57.03,Percent,-57.29,Percent
1958-59,Kollam,Cashew,-1.27,Percent,-2.83,Percent,-1.53,Percent
1958-59,Kollam,Coconut,0.96,Percent,-7.31,Percent,-8.19,Percent
1958-59,Kollam,Coffee,,Percent,,Percent,,Percent
1958-59,Kollam,Ginger,,Percent,13.33,Percent,13.3,Percent
1958-59,Kollam,Mango,5.39,Percent,,Percent,,Percent
1958-59,Kollam,Paddy,-4.94,Percent,4.63,Percent,17.07,Percent
1958-59,Kollam,Pepper,-2.89,Percent,-6.45,Percent,-3.77,Percent
1958-59,Kollam,Plantain,0.45,Percent,-57.09,Percent,-57.29,Percent
1958-59,Kollam,Rubber,7.98,Percent,-1.73,Percent,-8.93,Percent
1958-59,Kollam,Tapioca,5.2,Percent,3.53,Percent,-1.59,Percent
1958-59,Kollam,Tea,-9.87,Percent,4.45,Percent,15.87,Percent
1958-59,Kollam,Turmeric,-58.38,Percent,-58.71,Percent,-0.78,Percent
1958-59,Kottayam,Arecanut,14.11,Percent,14.17,Percent,,Percent
1958-59,Kottayam,Banana,-11.53,Percent,-65.68,Percent,-61.2,Percent
1958-59,Kottayam,Cardamom,3.45,Percent,1.97,Percent,-2.22,Percent
1958-59,Kottayam,Cashew,14.99,Percent,13.16,Percent,-1.59,Percent
1958-59,Kottayam,Coconut,-1.7,Percent,-1.77,Percent,-0.08,Percent
1958-59,Kottayam,Coffee,13.91,Percent,12.09,Percent,-1.84,Percent
1958-59,Kottayam,Ginger,4.24,Percent,-30.29,Percent,-38.78,Percent
1958-59,Kottayam,Mango,4.75,Percent,,Percent,,Percent
1958-59,Kottayam,Paddy,-1.94,Percent,0.92,Percent,2.93,Percent
1958-59,Kottayam,Pepper,,Percent,-3.86,Percent,-3.81,Percent
1958-59,Kottayam,Plantain,-11.7,Percent,-65.74,Percent,-61.2,Percent
1958-59,Kottayam,Rubber,3.96,Percent,-4.85,Percent,-8.12,Percent
1958-59,Kottayam,Tapioca,-6.1,Percent,-7.59,Percent,-1.59,Percent
1958-59,Kottayam,Tea,-4.79,Percent,31.33,Percent,37.83,Percent
1958-59,Kottayam,Turmeric,-59.53,Percent,-60.13,Percent,-1.56,Percent
1958-59,Kozhikode,Arecanut,-9.67,Percent,-9.69,Percent,,Percent
1958-59,Kozhikode,Banana,-6.01,Percent,-84.29,Percent,-83.29,Percent
1958-59,Kozhikode,Cardamom,45.91,Percent,43.75,Percent,,Percent
1958-59,Kozhikode,Cashew,6.01,Percent,4.3,Percent,-1.59,Percent
1958-59,Kozhikode,Coconut,-5.81,Percent,-5.84,Percent,-89.63,Percent
1958-59,Kozhikode,Coffee,1.32,Percent,-12.24,Percent,-13.32,Percent
1958-59,Kozhikode,Ginger,0.43,Percent,-0.61,Percent,-1,Percent
1958-59,Kozhikode,Mango,-7.96,Percent,,Percent,,Percent
1958-59,Kozhikode,Paddy,0.49,Percent,-0.42,Percent,-0.85,Percent
1958-59,Kozhikode,Pepper,0.74,Percent,-2.54,Percent,-3.47,Percent
1958-59,Kozhikode,Plantain,-5.99,Percent,-84.29,Percent,-83.29,Percent
1958-59,Kozhikode,Rubber,16.86,Percent,11.3,Percent,-4.57,Percent
1958-59,Kozhikode,Tapioca,30.72,Percent,-4,Percent,-26.55,Percent
1958-59,Kozhikode,Tea,4.81,Percent,-35.42,Percent,-38.4,Percent
1958-59,Kozhikode,Turmeric,-6.2,Percent,-7.67,Percent,-1.56,Percent
1958-59,Palakkad,Arecanut,-7.14,Percent,-7.09,Percent,,Percent
1958-59,Palakkad,Banana,-0.16,Percent,-84.67,Percent,-84.64,Percent
1958-59,Palakkad,Cardamom,67.7,Percent,61.7,Percent,-2.22,Percent
1958-59,Palakkad,Cashew,16.47,Percent,14.64,Percent,-1.59,Percent
1958-59,Palakkad,Coconut,293.26,Percent,293.75,Percent,0.12,Percent
1958-59,Palakkad,Coffee,-31.17,Percent,9.01,Percent,58.5,Percent
1958-59,Palakkad,Ginger,-6.46,Percent,-7.63,Percent,-1.23,Percent
1958-59,Palakkad,Mango,23.56,Percent,,Percent,,Percent
1958-59,Palakkad,Paddy,0.37,Percent,2.95,Percent,2.62,Percent
1958-59,Palakkad,Pepper,0.97,Percent,-0.15,Percent,-1,Percent
1958-59,Palakkad,Plantain,-0.13,Percent,-84.66,Percent,-84.64,Percent
1958-59,Palakkad,Rubber,16.9,Percent,11.44,Percent,-55.35,Percent
1958-59,Palakkad,Tapioca,2.33,Percent,0.88,Percent,-1.42,Percent
1958-59,Palakkad,Tea,-54.55,Percent,37.4,Percent,202.56,Percent
1958-59,Palakkad,Turmeric,2.51,Percent,0.84,Percent,-1.67,Percent
1958-59,Thiruvananthapuram,Arecanut,-9.56,Percent,-9.63,Percent,,Percent
1958-59,Thiruvananthapuram,Banana,-12.64,Percent,-83.76,Percent,-81.4,Percent
1958-59,Thiruvananthapuram,Cashew,25.13,Percent,23.15,Percent,-1.59,Percent
1958-59,Thiruvananthapuram,Coconut,1.11,Percent,1.08,Percent,-0.03,Percent
1958-59,Thiruvananthapuram,Mango,12.77,Percent,,Percent,,Percent
1958-59,Thiruvananthapuram,Paddy,-3.36,Percent,-3.2,Percent,0.14,Percent
1958-59,Thiruvananthapuram,Pepper,-0.54,Percent,-1.59,Percent,-0.94,Percent
1958-59,Thiruvananthapuram,Plantain,-12.68,Percent,-83.76,Percent,-81.4,Percent
1958-59,Thiruvananthapuram,Rubber,16.55,Percent,-1.9,Percent,-15.85,Percent
1958-59,Thiruvananthapuram,Tapioca,5,Percent,3.34,Percent,-1.57,Percent
1958-59,Thiruvananthapuram,Tea,-3.83,Percent,80.76,Percent,87.95,Percent
